Using device: TITAN V
Moved to GPU

Epoch: 1/1000, Train Loss: 0.69364053, Test Loss: 0.68273550

Epoch: 51/1000, Train Loss: 0.68406320, Test Loss: 0.68345594

Epoch: 101/1000, Train Loss: 0.66048127, Test Loss: 0.65677357

Epoch: 151/1000, Train Loss: 0.59047556, Test Loss: 0.57922018

Epoch: 201/1000, Train Loss: 0.56841600, Test Loss: 0.55932713

Epoch: 251/1000, Train Loss: 0.56534368, Test Loss: 0.55707014

Epoch: 301/1000, Train Loss: 0.56424057, Test Loss: 0.55618089

Epoch: 351/1000, Train Loss: 0.56382746, Test Loss: 0.55578643

Epoch: 401/1000, Train Loss: 0.56365162, Test Loss: 0.55557609

Epoch: 451/1000, Train Loss: 0.56355941, Test Loss: 0.55543876

Epoch: 501/1000, Train Loss: 0.56350118, Test Loss: 0.55533510

Epoch: 551/1000, Train Loss: 0.56345797, Test Loss: 0.55524963

Epoch: 601/1000, Train Loss: 0.56342310, Test Loss: 0.55517578

Epoch: 651/1000, Train Loss: 0.56339318, Test Loss: 0.55510986

Epoch: 701/1000, Train Loss: 0.56336659, Test Loss: 0.55505002

Epoch: 751/1000, Train Loss: 0.56334263, Test Loss: 0.55499548

Epoch: 801/1000, Train Loss: 0.56332058, Test Loss: 0.55494529

Epoch: 851/1000, Train Loss: 0.56330031, Test Loss: 0.55489898

Epoch: 901/1000, Train Loss: 0.56328160, Test Loss: 0.55485588

Epoch: 951/1000, Train Loss: 0.56326413, Test Loss: 0.55481589

Epoch: 1000/1000, Train Loss: 0.56324810, Test Loss: 0.55477929
