Model Selection,No SMOTE,SMOTE,,,,,,,,,,
Model Type,ROC AUC,,,,,,,,,,,
Logistic Regression,0.8,0.8,,,,,,,,,,
XGBoost,0.69,0.72,,(optimal parameters available for all model types),,,,,,,,
MLP,0.74,0.71,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Top 10 Feats,,,,,,,,,,,
Feature Importance Metrics,1,2,3,4,5,6,7,8,9,10,,
Clinician Survey,hepaticfailure,LACTATE_max,age,immunosuppression,metastaticcancer,CREATININE,p/f,INR,GCS-motor,BILIRUBIN,,n = 41
Mutual Information,LACTATE_max,PT_max,INR_max,BICARBONATE_min,ANIONGAP_max,day1motor,BUN_max,BILIRUBIN_max,ALBUMIN_min,CREATININE_max,,
Logistic Regression Coefficients (no SMOTE),CHLORIDE_max,BICARBONATE_min,LACTATE_max,ALBUMIN_min,SODIUM_max,day1motor,age,ANIONGAP_max,BUN_max,SODIUM_min,,
Logistic Regression Coefficients (SMOTE),CHLORIDE_max,BICARBONATE_min,LACTATE_max,ALBUMIN_min,SODIUM_max,ANIONGAP_max,age,day1motor,SODIUM_min,BUN_max,,
XGBoost Shap (no SMOTE),PT_max,LACTATE_max,BICARBONATE_min,BUN_max,INR_max,PLATELET_min,ALBUMIN_min,day1motor,HEMATOCRIT_min,GLUCOSE_min,,
XGBoost Shap SMOTE,LACTATE_max,BICARBONATE_min,day1motor,BUN_max,INR_max,ALBUMIN_min,age,BILIRUBIN_max,patientunitstayid,aids,,
MLP Shap via DeepLIFT (no SMOTE),gender,day1motor,age,BILIRUBIN_max,diabetes,patientunitstayid,BICARBONATE_min,hepaticfailure,SODIUM_min,SODIUM_max,,
MLP Shap via DeepLIFT (SMOTE),,SODIUM_max,BICARBONATE_min,diabetes,WBC_max,SODIUM_min,ANIONGAP_max,day1motor,ALBUMIN_min,BUN_max,CHLORIDE_max,
MLP Influence Functions (no SMOTE),ALBUMIN_min,LACTATE_max,aids,BICARBONATE_min,PT_max,age,ANIONGAP_max,BILIRUBIN_max,CHLORIDE_min,metastaticcancer,,
MLP Influence Functions (SMOTE),CHLORIDE_max,LACTATE_max,INR_max,BICARBONATE_min,PT_max,SODIUM_max,day1motor,BUN_max,hepaticfailure,diabetes,,
,,,,,,,,,,,,
Algorithm Computation Time,Time (minutes),,,,,,,,,,,
Shap via DeepLIFT,226.6935768,,,,,,,,,,,
Influence Extended,1.420261268,,,,,,,,,,,
,,,,,,,,,,,,
Common Features with Survey (BEST MODEL),Count,,,,,,,,,,,
Mutual Information,4,,,,,,,,,,,
Logistic Regression Coefficients,2,,,,,,,,,,,
XGBoost Shap,4,but found misc feat,,Test size = 0.1,Test size = 0.2,Test size = 0.33,Test size = 0.5,,,,,
MLP Shap via DeepLIFT,3,but found misc feat,,BICARBONATE_min,BICARBONATE_min,age,BICARBONATE_min,,,,,
MLP Influence Functions,4,,,ANIONGAP_max,LACTATE_max,LACTATE_max,LACTATE_max,,,,,
,,,,LACTATE_max,ANIONGAP_max,BICARBONATE_min,ALBUMIN_min,,,,,
,,,,CHLORIDE_max,ALBUMIN_min,ALBUMIN_min,PLATELET_min,,,,,
,,,,ALBUMIN_min,age,GLUCOSE_min,ANIONGAP_max,,,,,
,,,,PT_max,CHLORIDE_max,day1motor,age,,,,,
,,,,age,PT_max,CHLORIDE_max,GLUCOSE_min,,,,,
,,,,HEMATOCRIT_min,INR_max,ANIONGAP_max,diabetes,,,,,
,,,,day1motor,diabetes,CREATININE_max,SODIUM_min,,,,,
,,,,SODIUM_max,HEMATOCRIT_min,diabetes,aids,,,,,
